公式ID,カード名,種別,レアリティ,APIID,UnityアプリID
ST01-001,一ノ瀬うるは,リーダー,LR,141,LC7_0,
ST01-002,小雀とと,リーダー,LR,142,LC9_0,
ST01-003,花芽すみれ,リーダー,LR,143,LC21_0,
ST01-004,花芽なずな,リーダー,LR,144,LC22_0,
ST01-005,クロスファイア,アタック,SR,145,NCST101,
ST01-006,リスキーエントリー,アタック,C,146,NCBP112,
ST01-007,バウンティーハンター,アタック,C,147,NCST102,
ST01-008,勝利の一撃,アタック,C,148,NCBP115,
ST01-009,強さの証明,アタック,C,149,NCST103,
ST01-010,クリティカルショット,アタック,C,150,NCBP130,
ST01-011,冷静沈着,アタック,UC,151,NCBP133,
ST01-012,ブラインドショット,アタック,C,152,NCBP134,
ST01-013,駆け引き上手,メモリア,C,153,NCST104,
ST01-014,ゾーン状態,メモリア,C,154,NCBP148,
ST01-015,汚部屋の住人,メモリア,C,155,NCBP149,
ST01-016,初の栄冠,メモリア,SR,156,NCST105,
ST01-017,登頂成功,メモリア,C,157,NCBP166,
ST01-018,面接官,メモリア,C,158,NCST106,
ST01-019,アドレナリン,タクティクス,TUC,159,TC1,
ST01-020,エナジーチャージャー,タクティクス,TUC,160,TC2,
ST01-021,救急キット,タクティクス,TUC,161,TC3,
ST01-022,特殊弾,タクティクス,TUC,162,TC10,
ST01-023,ライトシールド,タクティクス,TUC,163,TC7,
ST01-024,PPチケット,タクティクス,TUC,164,TC9,
ST02-001,Selly,リーダー,LR,166,LC3_0,
ST02-002,Mondo,リーダー,LR,167,LC6_0,
ST02-003,Cpt,リーダー,LR,168,LC15_0,
ST02-004,Ras,リーダー,LR,169,LC18_0,
ST02-005,異次元キック,アタック,C,170,NCST201,
ST02-006,過激ないたずら,アタック,C,171,NCST202,
ST02-007,インパクトショット,アタック,C,172,NCBP103,
ST02-008,キリングスプリー,アタック,UC,173,NCBP109,
ST02-009,魔王降臨,アタック,SR,174,NCST203,
ST02-010,カウンタースナイプ,アタック,C,175,NCBP120,
ST02-011,マルチグレネード,アタック,C,176,NCST204,
ST02-012,変わらない関係,メモリア,SR,177,NCST205,
ST02-013,偉大な栄冠,メモリア,C,178,NCBP139,
ST02-014,危機一髪,メモリア,UC,179,NCBP142,
ST02-015,ツアーガイド,メモリア,C,180,NCST206,
ST02-016,福男,メモリア,C,181,NCBP157,
ST02-017,優勝請負人,メモリア,UC,182,NCBP160,
ST02-018,小さなビデオレター,メモリア,C,183,NCBP163,
ST02-019,アドレナリン,タクティクス,TUC,184,TC1,
ST02-020,エナジーチャージャー,タクティクス,TUC,185,TC2,
ST02-021,救急キット,タクティクス,TUC,186,TC3,
ST02-022,特殊弾,タクティクス,TUC,187,TC10,
ST02-023,ライトシールド,タクティクス,TUC,188,TC7,
ST02-024,PPチケット,タクティクス,TUC,189,TC9,
PR-001,エレガントドミネート,アタック,P,191,NCBP102,
PR-002,フラッシュバン,アタック,P,192,NCBP111,
PR-003,ヴェノムスモーク,アタック,P,193,NCBP121
PR-004,クレイジーバースト,アタック,P,194,NCBP129,
PR-005,胴だよ胴！,メモリア,P,195,NCBP138,
PR-006,苦難の昇格,メモリア,P,196,NCBP147,
PR-007,花火づくり,メモリア,P,197,NCBP156,
PR-008,喧嘩上等,メモリア,P,198,NCBP165,
PR-009,強さの証明,アタック,P,199,NCST103,
PR-010,異次元キック,アタック,P,200,NCST201,
PR-011,駆け引き上手,メモリア,P,201,NCST104,
PR-012,ツアーガイド,メモリア,P,202,NCST206,
PR-018,PPチケット,タクティクス,P,208,TC9_0,
PR-020,ドレッドフォーム,アタック,P,322,NCBP244,
PR-021,アンストッパブル,アタック,P,323,NCBP245,
PR-022,いただきま～す！,メモリア,P,324,NCBP249,
PR-023,Just Eat Chicken!,メモリア,P,325,NCBP256,
PR-029,先導者の証,メモリア,P,331,NCBP155_1,
PR-031,サイコフォートレス,アタック,P,333,NCBP241_0,
PR-032,マルチグレネード,アタック,P,334,NCST204_0,
PR-033,天賦の竹槍,メモリア,P,335,NCBP251_0,
PR-034,面接官,メモリア,P,336,NCST106_0,
PR-040,キリングスプリー,アタック,P,457,NCBP109_0,
PR-041,777,メモリア,P,458,NCBP161_0,
PR-044,ノーエスケープ,アタック,P,462,NCBP302_0,
PR-045,マシンガントーク,アタック,P,463,NCBP248_0,
